run_id,design,flow_design,clock_scale,clock_period_ns,abc_area,place_density,routing_layer_adjustment,scenario_id,scenario_mode,scenario_pvt,scenario_rc,clock_uncertainty_ns,timing_derate_late,timing_derate_early,input_delay_scale,output_delay_scale,variant,sdc_file,status,last_error,last_update_utc
bp_be_top__clk2470ps__abc0__pd560__rlabase,bp_be_top,bp_be,0.95,2.47,0,0.56,,base,func,typical,typ,,,,,,bp_be_top__clk2470ps__abc0__pd560__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2470ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2470ps__abc0__pd560__rla035,bp_be_top,bp_be,0.95,2.47,0,0.56,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2470ps__abc0__pd560__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2470ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2470ps__abc1__pd440__rlabase,bp_be_top,bp_be,0.95,2.47,1,0.44,,base,func,typical,typ,,,,,,bp_be_top__clk2470ps__abc1__pd440__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2470ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2470ps__abc1__pd440__rla035,bp_be_top,bp_be,0.95,2.47,1,0.44,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2470ps__abc1__pd440__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2470ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2470ps__abc1__pd500__rlabase,bp_be_top,bp_be,0.95,2.47,1,0.5,,base,func,typical,typ,,,,,,bp_be_top__clk2470ps__abc1__pd500__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2470ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2470ps__abc1__pd500__rla035,bp_be_top,bp_be,0.95,2.47,1,0.5,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2470ps__abc1__pd500__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2470ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2470ps__abc1__pd560__rlabase,bp_be_top,bp_be,0.95,2.47,1,0.56,,base,func,typical,typ,,,,,,bp_be_top__clk2470ps__abc1__pd560__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2470ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2470ps__abc1__pd560__rla035,bp_be_top,bp_be,0.95,2.47,1,0.56,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2470ps__abc1__pd560__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2470ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc0__pd440__rlabase,bp_be_top,bp_be,1.0,2.6,0,0.44,,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc0__pd440__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc0__pd440__rla035,bp_be_top,bp_be,1.0,2.6,0,0.44,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc0__pd440__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc0__pd500__rlabase,bp_be_top,bp_be,1.0,2.6,0,0.5,,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc0__pd500__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-02T04:49:44Z
bp_be_top__clk2600ps__abc0__pd500__rla035,bp_be_top,bp_be,1.0,2.6,0,0.5,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc0__pd500__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc0__pd560__rlabase,bp_be_top,bp_be,1.0,2.6,0,0.56,,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc0__pd560__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc0__pd560__rla035,bp_be_top,bp_be,1.0,2.6,0,0.56,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc0__pd560__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc1__pd440__rlabase,bp_be_top,bp_be,1.0,2.6,1,0.44,,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc1__pd440__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc1__pd440__rla035,bp_be_top,bp_be,1.0,2.6,1,0.44,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc1__pd440__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc1__pd500__rlabase,bp_be_top,bp_be,1.0,2.6,1,0.5,,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc1__pd500__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc1__pd500__rla035,bp_be_top,bp_be,1.0,2.6,1,0.5,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc1__pd500__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc1__pd560__rlabase,bp_be_top,bp_be,1.0,2.6,1,0.56,,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc1__pd560__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2600ps__abc1__pd560__rla035,bp_be_top,bp_be,1.0,2.6,1,0.56,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2600ps__abc1__pd560__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2600ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc0__pd440__rlabase,bp_be_top,bp_be,1.05,2.73,0,0.44,,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc0__pd440__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc0__pd440__rla035,bp_be_top,bp_be,1.05,2.73,0,0.44,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc0__pd440__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc0__pd500__rlabase,bp_be_top,bp_be,1.05,2.73,0,0.5,,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc0__pd500__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc0__pd500__rla035,bp_be_top,bp_be,1.05,2.73,0,0.5,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc0__pd500__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc0__pd560__rlabase,bp_be_top,bp_be,1.05,2.73,0,0.56,,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc0__pd560__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc0__pd560__rla035,bp_be_top,bp_be,1.05,2.73,0,0.56,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc0__pd560__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc1__pd440__rlabase,bp_be_top,bp_be,1.05,2.73,1,0.44,,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc1__pd440__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc1__pd440__rla035,bp_be_top,bp_be,1.05,2.73,1,0.44,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc1__pd440__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc1__pd500__rlabase,bp_be_top,bp_be,1.05,2.73,1,0.5,,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc1__pd500__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc1__pd500__rla035,bp_be_top,bp_be,1.05,2.73,1,0.5,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc1__pd500__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc1__pd560__rlabase,bp_be_top,bp_be,1.05,2.73,1,0.56,,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc1__pd560__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2730ps__abc1__pd560__rla035,bp_be_top,bp_be,1.05,2.73,1,0.56,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2730ps__abc1__pd560__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2730ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc0__pd440__rlabase,bp_be_top,bp_be,1.1,2.86,0,0.44,,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc0__pd440__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc0__pd440__rla035,bp_be_top,bp_be,1.1,2.86,0,0.44,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc0__pd440__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc0__pd500__rlabase,bp_be_top,bp_be,1.1,2.86,0,0.5,,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc0__pd500__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc0__pd500__rla035,bp_be_top,bp_be,1.1,2.86,0,0.5,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc0__pd500__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc0__pd560__rlabase,bp_be_top,bp_be,1.1,2.86,0,0.56,,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc0__pd560__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc0__pd560__rla035,bp_be_top,bp_be,1.1,2.86,0,0.56,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc0__pd560__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc1__pd440__rlabase,bp_be_top,bp_be,1.1,2.86,1,0.44,,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc1__pd440__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc1__pd440__rla035,bp_be_top,bp_be,1.1,2.86,1,0.44,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc1__pd440__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc1__pd500__rlabase,bp_be_top,bp_be,1.1,2.86,1,0.5,,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc1__pd500__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc1__pd500__rla035,bp_be_top,bp_be,1.1,2.86,1,0.5,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc1__pd500__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc1__pd560__rlabase,bp_be_top,bp_be,1.1,2.86,1,0.56,,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc1__pd560__rlabase,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
bp_be_top__clk2860ps__abc1__pd560__rla035,bp_be_top,bp_be,1.1,2.86,1,0.56,0.35,base,func,typical,typ,,,,,,bp_be_top__clk2860ps__abc1__pd560__rla035,/home/smscott/GNN_STA/configs/sdc_generated/bp_be_top/constraint_clk2860ps.sdc,success,,2026-03-03T00:50:07+00:00
